attrition,age,years_at_company,salary,commute_distance,job_satisfaction,work_life_balance,num_promotions,training_hours,performance_rating,overtime_hours,num_projects,monthly_income
0,27.143693966994388,9.428357210037333,111.02497349988101,2.3662947231831346,3,2,1,29.703690916364014,4.120091174864338,15.00584843478093,5,9.252081124990085
0,47.97345446583586,1.3890725612938284,41.1077792409223,7.51064904613391,2,4,0,28.83795128179192,4.359444525998676,13.111936555614601,4,3.425648270076858
0,40.82978498051992,5.615175382605497,51.56370019028863,5.364873525245119,2,3,1,16.22119227886601,3.504712364675179,25.580110274362546,3,4.296975015857385
0,22.93705286081908,6.644181716021506,85.13343771358397,7.233335682010921,3,3,1,26.83017959512127,2.8422791236467817,8.063478813491953,2,7.094453142798664
0,32.21399748031464,16.445937128962374,70.3804103974194,2.3357943933996066,2,3,1,53.33450936283866,2.5585844264792916,12.03390767174712,2,5.86503419978495
0,54.51436537097151,1.2216008759523715,91.70621691919627,10.406795699605876,5,3,1,6.981647711405305,3.9311330515499376,13.457868364505623,3,7.642184743266355
0,22.0,3.6082523075623234,77.85039914854393,2.111436144246157,3,4,2,7.379248242810317,4.069040020782578,6.137807581401887,3,6.487533262378661
0,33.710873711438225,6.027856726109704,93.49225285044896,22.71122675884065,4,2,4,14.114367208005902,3.494657008712958,5.505092412330212,7,7.791021070870747
1,50.65936258705534,0.5,84.68222712261289,1.8981312342011802,3,4,0,67.2470207699376,3.2785520520399314,59.57082159515249,5,7.056852260217741
1,29.332595977348983,10.202769932363404,132.80025935371708,50.0,5,3,6,34.83388367097897,3.2004389316149253,35.852842717257474,3,11.066688279476423
0,31.211138483779457,2.085634430112397,65.91880584950678,1.0,5,2,0,11.982877658784155,4.167109838673749,5.512698861991097,3,5.4932338207922315
0,37.05291031063109,5.631278494690321,143.45685836165242,3.509876843824901,4,3,2,45.02585886663499,3.7533797808090923,7.703276154726451,1,11.954738196804369
0,52.913896261242876,2.589229348932436,113.78054151718935,7.180744120405871,4,1,1,15.948814038356655,3.2667112186355993,8.475935859992234,3,9.481711793099112
0,31.61098003315349,11.404913304457896,63.57522497873391,3.2678229248111594,3,3,0,51.21917543867523,3.6513456915846327,9.954081848344645,3,5.297935414894492
0,33.56018040353935,8.227414258504972,126.92680276206983,3.6963820462810486,2,3,4,34.49384462132445,3.724885582686545,4.2925803216409255,4,10.57723356350582
0,33.65648724381483,3.1497010715064393,91.4120438767799,2.118644691752933,4,3,0,100.0,2.495342538013585,27.85014870691773,2,7.617670323064992
0,60.059300827254546,14.836419933884786,53.60771180582822,7.821066698094668,3,3,1,10.710809869842207,3.817678070440608,20.140556569567963,6,4.467309317152352
1,59.86786088973786,7.3286729563826745,69.20712007599504,35.1964782682022,4,3,1,35.3775309345926,3.322330996392236,51.55716774284499,1,5.767260006332919
1,48.040538978788774,2.83562967384077,93.22369207934301,7.299605091145763,4,3,0,64.03712369873251,3.120750170684171,38.496051315352425,6,7.768641006611918
0,41.86186399174856,10.896873809574332,66.2835487555223,24.398247909689704,3,4,3,23.89993703912972,2.7991406120974873,8.756523586387502,3,5.523629062960192
0,45.373685758962424,3.7666553462699346,148.9170555224863,5.3706454990632615,5,2,1,15.234279121804548,4.2536682750836325,13.586066514036432,2,12.409754626873857
0,52.90732028150799,4.095940994779311,47.73360633011693,5.868160387062571,4,1,3,39.213315837775035,3.8610807936655682,17.5289226695093,2,3.977800527509744
0,28.641661315976087,0.5810681629202503,70.71326048082179,4.825058929382858,4,1,0,16.599328334717367,4.947468391660744,1.0889656824498526,5,5.892771706735149
0,49.75829044782103,11.195811163069244,107.2648581943146,1.0,3,3,2,5.427800530303483,3.619759122454295,11.901887957127421,1,8.93873818285955
0,25.461193322509875,2.488087923742299,86.59442508833934,2.4595388533278055,1,4,0,17.379634964802193,3.0612344550732855,2.7338219618854636,4,7.216202090694945
0,31.6224849754659,3.2726326883173558,47.02655475779105,1.0,2,3,1,7.532246329528246,3.7710086314731712,5.694739197606792,5,3.918879563149254
0,47.07105195800301,22.015977003532466,165.2122438295264,2.894429426324865,4,4,5,12.609376899403465,3.2580497382918563,3.9788864872730167,1,13.767686985793866
0,23.713192997740308,8.73652175581398,115.39256529491675,12.881248296479427,1,3,1,18.392768630599353,3.4422130316752164,22.07396829290365,7,9.61604710790973
0,36.59931279811334,0.6118277281775972,88.13367872155075,9.649167962551559,4,2,0,13.207733925397974,4.261859628871563,1.1636103496828922,3,7.344473226795896
1,29.382451041403144,7.422532081474457,118.67777367802121,9.70845207488616,5,4,2,71.01760057278454,3.475896687319943,41.41031844594049,2,9.889814473168434
0,35.44380629469403,1.3429680556249843,46.626907412020316,5.652354766298,4,4,1,6.5589297650461775,3.6720049721375196,2.385259584415624,4,3.88557561766836
0,22.0,0.9057214252695266,96.32382499922295,10.08300643622711,4,3,0,18.40303295530763,2.669097993715042,11.11112276679895,7,8.026985416601912
